price,year,manufacturer,model,condition,cylinders,odometer,transmission,drive,type,lat,long
4595,1999.0,2,1002,2,5,183171.0,1,0,0,36.678966,-121.647459
4995,2010.0,5,539,2,2,149780.0,0,1,5,36.678966,-121.647459
5295,2008.0,7,482,0,2,125795.0,0,1,5,36.678966,-121.647459
5750,2006.0,7,753,2,4,106400.0,0,1,7,36.6849,-121.7934
3595,2005.0,10,959,0,4,182340.0,0,2,0,36.678966,-121.647459
3500,2006.0,2,601,0,4,255000.0,0,1,5,36.507031,-121.752613
5895,2008.0,3,1037,0,4,153016.0,0,1,3,36.678966,-121.647459
5995,2013.0,8,943,2,2,178706.0,0,1,5,36.678966,-121.647459
2900,2002.0,2,1002,1,5,180000.0,0,0,0,36.6167,-121.922
5999,2012.0,11,715,0,2,179189.0,1,1,5,36.678966,-121.647459
5595,2011.0,12,899,2,2,125089.0,0,1,5,36.678966,-121.647459
4995,2008.0,7,102,2,2,197872.0,0,1,5,36.678966,-121.647459
3695,2007.0,12,111,2,2,209826.0,0,1,5,36.678966,-121.647459
5995,2001.0,2,877,2,4,171843.0,0,2,6,36.678966,-121.647459
4995,2005.0,7,753,2,4,149637.0,0,1,3,36.678966,-121.647459
4395,2005.0,3,23,0,4,184213.0,0,2,5,36.678966,-121.647459
1600,1993.0,9,572,1,4,328763.0,0,0,0,36.4787,-121.7244
2000,2001.0,7,236,1,2,211926.0,0,1,1,33.5916,-117.6985
5495,2006.0,2,1080,0,4,70133.0,0,1,3,33.86076,-117.87936
5900,2007.0,7,85,3,2,137000.0,0,1,5,33.815225,-117.907405
4500,2005.0,15,192,0,2,163000.0,0,1,5,33.868,-117.9265
5999,2003.0,2,1002,0,5,139580.0,0,2,0,33.748929,-117.891304
4250,2003.0,3,816,0,2,47548.0,0,1,2,33.8744,-117.8543
4999,2006.0,14,515,0,2,146820.0,0,0,8,33.748929,-117.891262
3050,2006.0,16,628,0,3,150000.0,0,1,5,33.842615,-117.83339
3100,2005.0,7,236,2,2,192000.0,0,1,5,33.6654,-117.9686
4995,2002.0,2,813,0,2,54204.0,0,1,5,33.86076,-117.87936
3999,2003.0,12,111,2,4,126549.0,0,1,5,33.748817,-117.89081
5999,2005.0,2,1003,2,5,184073.0,0,2,0,33.748817,-117.89081
385,2015.0,2,186,3,5,39625.0,0,2,1,33.972745,-118.045006
269,2016.0,2,694,3,2,52865.0,0,1,5,33.972745,-118.045006
5999,2005.0,2,929,0,5,213707.0,0,2,4,33.748947,-117.89124
5499,2008.0,12,823,0,4,87850.0,0,1,3,33.748965,-117.891283
4999,2007.0,14,511,0,2,164382.0,0,0,0,33.748947,-117.891326
4999,2004.0,6,1152,0,5,176634.0,0,0,0,33.748929,-117.89124
4999,2006.0,14,766,0,2,176907.0,0,0,8,33.748965,-117.89124
4999,2005.0,2,397,0,4,108273.0,0,1,0,33.748929,-117.891219
5499,2006.0,3,25,0,5,141324.0,0,2,5,33.748929,-117.891283
5749,1998.0,15,46,0,2,320000.0,1,2,0,33.7868,-117.7934
3000,2003.0,16,628,3,2,133000.0,0,1,5,33.6801,-117.9085
3900,2002.0,8,79,0,2,81839.0,0,1,2,33.875577,-117.570384
5999,2010.0,5,293,0,5,83128.0,0,2,5,33.8544,-117.7858
4700,2004.0,7,225,0,2,129780.0,0,1,5,33.8286,-118.292
2900,2003.0,5,422,2,5,182000.0,0,0,0,33.754,-117.7919
3300,2006.0,5,487,0,4,125000.0,0,1,5,33.6829,-117.8298
1550,2000.0,15,46,1,4,180000.0,0,2,0,33.675,-116.1772
750,1999.0,15,187,2,2,283000.0,0,1,5,33.8763,-116.354
5400,2010.0,3,1041,2,4,227000.0,0,2,3,33.7207,-116.2168
5900,2009.0,10,976,0,4,144000.0,0,0,0,33.745144,-116.351803
4800,2003.0,6,957,0,4,189950.0,0,0,6,40.74375,-122.238705
3900,2006.0,2,688,0,4,160000.0,0,1,5,40.165152,-122.381671
3395,2000.0,5,1104,2,4,203658.0,0,1,7,40.61879,-122.430482
4750,1999.0,2,210,0,2,89514.0,0,1,1,40.588789,-122.392783
5950,1998.0,15,917,0,4,146174.0,0,1,3,40.588789,-122.392783
3999,2013.0,2,969,2,2,170000.0,0,1,2,40.6969,-122.3683
5400,2008.0,8,79,2,2,106500.0,0,1,1,40.4471,-122.2986
1500,2001.0,7,225,2,2,183006.0,0,1,5,40.168496,-122.255354
4600,1999.0,2,1002,2,5,121000.0,0,0,0,38.936464,-119.977441
1850,2002.0,14,766,2,2,234530.0,1,0,8,39.513054,-119.775415
1850,2005.0,8,364,2,2,264000.0,1,1,5,39.513054,-119.775415
2850,2002.0,7,280,2,2,242785.0,0,0,0,39.513054,-119.775415
2500,1999.0,4,333,2,5,169980.0,0,0,0,39.513054,-119.775415
1850,1994.0,2,880,2,4,207585.0,0,0,4,39.513054,-119.775415
2500,2001.0,2,929,0,5,188603.0,0,0,6,39.537052,-119.765434
5950,2004.0,12,1129,0,4,166000.0,0,0,0,39.524283,-119.825238
5950,2008.0,13,550,0,4,127600.0,0,1,5,39.524283,-119.825238
2000,2006.0,11,67,2,2,175382.0,1,0,5,39.3385,-120.1729
2850,2002.0,9,572,2,4,176500.0,0,0,0,39.513054,-119.775415
5995,2003.0,6,384,0,4,111882.0,0,2,0,39.494492,-119.78862
5995,1999.0,9,572,0,5,172948.0,0,0,0,39.494492,-119.78862
2000,2015.0,3,5,0,2,117942.0,0,1,5,39.537052,-119.765434
5295,2010.0,2,590,2,2,147375.0,0,1,8,39.524852,-119.789166
4995,2009.0,3,820,2,2,97776.0,0,1,8,39.524852,-119.789166
5990,2000.0,9,572,0,5,139521.0,0,0,0,39.535256,-119.769017
5950,2002.0,5,429,0,5,135200.0,0,0,0,39.524283,-119.825238
3950,2001.0,14,663,2,2,179000.0,1,0,8,39.524283,-119.825238
1500,2011.0,3,5,2,4,135850.0,0,1,5,39.5473,-119.7556
3500,2000.0,12,1130,2,4,240000.0,0,0,0,38.8447,-119.3523
5450,2012.0,12,1089,0,2,139600.0,0,1,5,39.535256,-119.769017
2200,2002.0,12,787,1,4,163385.0,0,0,0,39.5483,-119.7957
4950,2001.0,15,214,2,2,142332.0,0,1,2,38.538729,-121.409144
4999,2006.0,8,364,0,2,123929.0,0,1,5,38.602574,-121.402827
2000,2006.0,0,1115,0,4,143143.0,0,0,0,38.608256,-121.435199
2000,2013.0,8,364,0,2,77447.0,0,1,5,38.60627,-121.425877
2000,2016.0,2,606,0,4,91474.0,0,1,5,38.608256,-121.435199
2000,2018.0,5,494,0,2,27789.0,0,1,5,38.608256,-121.435199
5795,2014.0,12,1091,2,2,99960.0,0,1,2,38.6714,-121.3309
4995,2006.0,14,766,2,2,184000.0,0,0,8,38.6716,-121.331
4500,2005.0,15,187,0,4,191577.0,0,1,5,38.608256,-121.435199
5750,2010.0,7,483,0,2,166973.0,0,1,2,38.6093,-121.4443
5400,2005.0,15,597,0,4,194500.0,0,0,0,38.657083,-121.188042
2499,1996.0,7,90,0,2,220915.0,0,1,1,38.531566,-121.445641
5499,2009.0,3,23,2,4,162061.0,0,2,5,38.4797,-121.4438
4999,2000.0,4,321,2,4,194848.0,0,0,6,38.4797,-121.4438
5499,2008.0,3,23,2,4,172518.0,0,2,5,38.4797,-121.4438
3999,2008.0,7,759,2,4,279122.0,0,1,3,38.4797,-121.4438
2000,2005.0,12,534,1,4,208552.0,1,2,4,38.7877,-121.2366
304,2018.0,7,225,0,2,41053.0,0,1,2,37.976662,-122.043621
4900,1992.0,15,794,2,2,155000.0,1,2,6,38.9829,-121.0944
5399,2004.0,14,769,0,2,131000.0,0,0,8,38.5539,-121.3693
5899,2011.0,12,899,0,2,113000.0,0,1,5,38.5539,-121.3693
3450,2004.0,7,225,2,2,231512.0,0,1,1,38.538729,-121.409144
3900,2004.0,7,232,0,2,167000.0,0,1,5,38.615336,-121.284467
5500,2001.0,15,198,0,4,98563.0,0,1,1,38.6693,-121.2682
3850,1998.0,15,187,2,4,237941.0,0,1,5,38.5892,-121.4057
5995,2004.0,7,307,0,2,168589.0,0,0,0,38.596049,-121.4053
5950,2007.0,14,163,2,4,196738.0,0,0,0,38.538729,-121.409144
5950,1995.0,5,472,2,5,211126.0,0,2,6,38.538729,-121.409144
5950,2010.0,11,708,2,2,157781.0,0,1,5,38.538729,-121.409144
5995,2002.0,16,744,3,2,95798.0,0,1,2,38.712413,-121.290416
1500,2014.0,15,1079,3,5,222000.0,0,2,6,38.741442,-121.290763
1500,2015.0,14,1111,3,2,83000.0,1,0,5,38.741486,-121.290763
